Batch ID,Test Date,Material ,Supplier,Heat Treatment,Sample Thickness (mm),Hardness (HRC),Tensile Strength (MPa),Yield Strength (MPa),Elongation (%),Carbon Equiv (%),Test Temp (C),Cycles to Failure,Defect Count,Operator,Test Machine,Pass/Fail,Notes
B2023-00510,12/02/2023,Titanium Ti-6Al-4V,Supplier D,Quenched & Tempered,5.59,37.4,1099.1,881.1,7.7,0.349,22.2,,1.0,M. Chen,UTM-1,Pass,
B2023-01224,03/14/2023,Aluminum 6061,Supplier B,Quenched & Tempered,14.73,15.4 hrc,280.3,254.6,13.7,0.385,24.7,,1.0,M. Chen,UTM-2,Fail,
B2024-00404,12-Mar-2024,Titanium Ti-6Al-4V,Supplier A,Normalized,16.96,36.8,1012.6,808.7,12.3,0.523,17.8,,0.0,R. Patel,UTM-1,Pass,"Cold room, verify temp log"
B2024-00794,07/21/2024,Steel 4140, Supplier C,As-Received,22.37,31.6,919.8,705.2,17.3,0.233,20.5,,2.0,T. Nguyen,UTM-3,Pass,
B2024-00116,08-May-2024,Copper C110,Supplier D,As-Received,3.39,8.0,218.4,194.7,32.7,0.324,25.2,12167.0,1.0,J. Kim,UTM-2,Pass,
B2023-00469,01/29/2023,Titanium Ti-6Al-4V,Supplier A,As-Received,4.56,37.3,970.2,792.5,11.1,0.325,19.3,9560.0,2.0,M. Chen,UTM-2,Pass,
B2022-00560,2022-07-20,Steel 4140,SUPPLIER D ,Normalized,16.51,33.5,958.5,806.1,17.1,0.37,22.9,23375.0,1.0,M. Chen,UTM-2,Pass,
B2022-00275,10/14/2022,Aluminum 6061,supplier b,As-Received,12.16,13.5,246.2,209.8,15.0,0.517,23.8,,1.0,M. Chen,UTM-1,Fail,
B2023-00679,2023-09-07,Steel 4140, Supplier B,As-Received,21.54,34.7,793.7,620.4,21.6,0.39,27.5,,2.0,M. Chen,UTM-3,Fail,
B2022-00321,13-Feb-2022,Stainless 304,Supplier A,Quenched & Tempered,14.7,24.2 HRC,708.0,,46.0,0.258,28.3,,1.0,R. Patel,UTM-2,Pass,
B2023-00218,2023-11-21,Stainless 304,Supplier B,As-Received,11.42,20.7,447.5,390.1,44.3,0.283,19.8,5813.0,3.0,J. Kim,UTM-1,Fail,Grain flow irregular near edge
B2022-01137,2022-03-02,Stainless 304,Supplier B,Quenched & Tempered,7.83,25.0,553.9,479.3,47.5,0.239,18.6,27720.0,1.0,M. Chen,UTM-1,Pass,
B2022-01309,2022-09-24,steel 4140,Supplier A,As-Received,16.88,31.8 HRC,956.3,759.2,15.6,0.285,17.4,29298.0,0.0,T. Nguyen,HT-4,Pass,
B2023-00567,27-Mar-2023,Aluminum 6061,Supplier D,Quenched & Tempered,9.69,15.1,348.4,271.3,,0.327,,23803.0,1.0,R. Patel,UTM-1,Pass,
B2022-00924,02-Mar-2022,Aluminum 6061,Supplier C,As-Received,7.36,14.0,313.0,262.4,12.2,0.29,16.9,,2.0,J. Kim,HT-4,Pass,Slight misalignment during test
B2023-00160,09/18/2023,Copper C110,Supplier C,Quenched & Tempered,4.95,7.5,220.7,177.2,,0.336,21.1,,3.0,M. Chen,UTM-1,Pass,
B2023-00214,11/18/2023, TitaniumTi6Al4V,Supplier D,As-Received,12.36,33.2,929.0,744.3,8.9,0.336,18.0,,0.0,T. Nguyen,HT-4,Fail,
B2023-01161,2023-11-03,ALUMINUM 6061,Supplier B,Annealed,4.58,14.5,239.5,175.2,15.3,0.297,20.0,,3.0,M. Chen,UTM-1,Fail,
B2024-00345,04/25/2024,Aluminum 6061, Supplier B,Normalized,12.13,13.9,261.7,218.4,16.4,0.301,19.9,,2.0,M. Chen,UTM-2,Fail,
B2023-00425,07/02/2023,Steel 4140,SUPPLIER C ,As-Received,20.16,32.0,951.1,758.8,19.2,0.442,18.0,,0.0,T. Nguyen,UTM-1,Pass,
B2024-01228,06/02/2024,Copper C110,Supplier A,As-Received,1.82,8.3,221.4,,35.8,0.356,26.0,,1.0,R. Patel,UTM-3,Pass,
B2022-00775,03/31/2022,COPPER C110 ,Supplier A,Annealed,2.01,6.9,234.3,200.6,36.0,0.478,25.2,9971.0,3.0,A. Silva,HT-4,Pass,
B2023-00126,2023-11-23,Steel 4140,Supplier B,Normalized,16.56,30.8,739.3,553.0,20.4,0.343,23.2,4663.0,3.0,R. Patel,UTM-3,Fail,
B2022-00986,10-Sep-2022,Titanium Ti-6Al-4V,Supplier D,Quenched & Tempered,14.03,36.7,1073.8,834.5,9.6,0.381,19.6,124989.0,0.0,M. Chen,UTM-1,Pass,
B2024-00600,05-Jun-2024,Aluminum 6061,Supplier C,Normalized,7.45,16.8,367.1,290.4,14.4,0.392,23.9,46583.0,1.0,M. Chen,UTM-2,Pass,
B2022-00264,02/27/2022,Titanium Ti-6Al-4V,supplier d,As-Received,5.54,36.5,912.4,749.0,13.2,0.243,23.2,,2.0,A. Silva,UTM-3,Pass,
B2022-01136,2022-09-26,Stainless 304,SUPPLIER D ,Normalized,15.25,24.7 hrc,643.7,533.6,43.1,0.432,20.7,24034.0,0.0,M. Chen,UTM-2,Pass,
B2023-00365,03-Sep-2023,Titanium Ti-6Al-4V,Supplier C,Normalized,3.25,37.2,1009.1,839.5,10.0,0.412,21.0,,0.0,R. Patel,UTM-3,Pass,
B2024-00763,05-May-2024,Steel 4140,Supplier D,Quenched & Tempered,24.8,32.3,1084.5,917.1,16.8,0.428,29.0,,0.0,J. Kim,UTM-3,Pass,Retest requested
B2024-00198,03/02/2024,aluminum 6061,Supplier B,As-Received,7.81,15.0,249.3,203.6,14.7,0.223,22.2,5407.0,4.0,T. Nguyen,HT-4,Fail,
B2023-00019,23-Oct-2023,Titanium Ti-6Al-4V,Supplier A,Normalized,19.76,33.7,996.3,836.3,7.9,0.48,20.8,12012.0,1.0,M. Chen,UTM-3,Pass,
B2023-01298,09/26/2023,Copper C110,Supplier C,Quenched & Tempered,6.31,8.3,236.5,193.6,33.8,0.373,20.9,,3.0,A. Silva,UTM-1,Pass,
B2023-00602,17-Apr-2023,Aluminum 6061,Supplier C,Normalized,8.79,15.8,338.0,279.9,15.9,0.367,20.0,,0.0,M. Chen,UTM-3,Pass,
B2022-00384,2022-09-16, TitaniumTi6Al4V,Supplier_D,Annealed,10.85,35.8,947.7,760.4,12.4,0.298,,,0.0,A. Silva,UTM-3,Pass,
B2022-00052,08/28/2022,Aluminum 6061,Supplier B,As-Received,8.22,15.3,258.7,204.0,13.7,0.373,22.6,14659.0,2.0,T. Nguyen,HT-4,Fail,
B2022-01281,2022-06-02,Copper C110,Supplier D,Annealed,8.18,9.4HRC,215.8,183.2,35.1,0.283,23.4,,2.0,J. Kim,UTM-2,Pass,Retest requested
B2023-01033,06-Jul-2023,Steel 4140,Supplier D,As-Received,18.61,29.4 HRC,949.7,774.4,20.0,0.335,22.3,,2.0,T. Nguyen,HT-4,Pass,Retest requested
B2024-00313,05/04/2024,Stainless 304,Supplier D,As-Received,4.19,18.3,599.2,513.5,41.8,0.285,18.1,10931.0,0.0,T. Nguyen,HT-4,Pass,
B2023-00651,18-Nov-2023,Titanium Ti-6Al-4V,Supplier A,As-Received,8.65,34.7,951.2,818.4,10.9,0.454,20.1,,1.0,M. Chen,UTM-3,Pass,
B2024-01316,01-Feb-2024,Aluminum 6061,Supplier C,Normalized,11.52,13.9,313.1,250.0,9.1,0.361,17.0,,2.0,M. Chen,UTM-2,Fail,
B2023-00569,20-Apr-2023,Stainless 304,Supplier C,As-Received,16.02,21.6HRC,614.0,504.9,45.0,0.165,21.6,36937.0,2.0,R. Patel,UTM-2,Pass,
B2022-00637,2022-11-09,Aluminum-6061,Supplier B,Annealed,2.58,16.2,249.1,206.6,15.2,0.257,22.3,,2.0,A. Silva,HT-4,Fail,
B2022-00119,16-Mar-2022,Copper C110,Supplier C,Quenched & Tempered,4.04,9.7,224.7,178.9,32.9,0.24,19.8,,0.0,M. Chen,UTM-2,Pass,
B2023-00274,21-Oct-2023,Aluminum 6061,Supplier D,Annealed,6.52,17.6,313.6,268.9,12.6,0.206,19.5,,,R. Patel,UTM-2,Pass,
B2023-00080,09/06/2023,Aluminum 6061,Supplier B,Quenched & Tempered,14.01,11.5,253.7,202.7,15.0,0.352,26.0,19064.0,2.0,J. Kim,UTM-3,Fail,
B2024-00284,2024-02-24,Titanium Ti-6Al-4V,Supplier A,Quenched & Tempered,19.36,37.8,1120.5,923.0,4.6,0.261,20.5,55583.0,0.0,J. Kim,HT-4,Pass,
B2024-00882,2024-03-07,Aluminum 6061,Supplier C,Annealed,5.52,11.2,261.3,213.1,13.9,0.316,25.6,8636.0,2.0,R. Patel,UTM-1,Pass,
B2022-00834,11/26/2022,Copper C110,Supplier A,As-Received,2.94,8.6,230.5,192.7,36.7,0.443,25.1,,1.0,J. Kim,UTM-2,Pass,
B2023-00557,15-Sep-2023,Steel 4140,Supplier B,Quenched & Tempered,14.78,32.0,877.1,652.8,15.0,0.422,22.5,7530.0,4.0,R. Patel,UTM-2,Pass,
B2023-01198,11/27/2023,Titanium Ti-6Al-4V,Supplier C,Annealed,7.05,36.9,961.1,739.5,13.8,0.224,25.4,,,T. Nguyen,UTM-2,Pass,
B2023-00711,23-Mar-2023,Steel 4140,SUPPLIER B ,Normalized,14.79,28.6,728.7,648.6,19.9,0.492,16.6,3142.0,4.0,A. Silva,UTM-1,Fail,
B2024-00477,05/29/2024,Aluminum 6061,Supplier C,Normalized,2.48,15.8,353.0,288.5,17.4,0.306,25.7,,3.0,T. Nguyen,UTM-2,Pass,
B2022-01178,2022-02-28,Steel 4140,Supplier C,Normalized,22.76,33.6,1033.7,897.9,15.0,0.36,29.2,8178.0,2.0,J. Kim,UTM-3,Pass,
B2024-00032,2024-06-20,Aluminum 6061,Supplier A,Annealed,11.97,15.0,328.5,271.2,17.1,0.367,21.4,48285.0,0.0,J. Kim,UTM-2,Pass,
B2024-00701,2024-07-21,Aluminum 6061,Supplier C,Annealed,14.81,14.2,326.3,,12.6,0.293,25.0,,2.0,J. Kim,UTM-2,Pass,
B2023-00290,04/11/2023,Titanium Ti-6Al-4V,Supplier C,Annealed,17.8,36.9,930.5,762.8,9.3,0.375,22.4,,1.0,R. Patel,UTM-2,Pass,
B2023-00884,2023-01-05,Aluminum 6061,Supplier D,As-Received,6.69,14.9,335.2,278.5,15.5,0.374,16.7,,0.0,T. Nguyen,HT-4,Pass,
B2022-00682,03/06/2022,Titanium Ti-6Al-4V,Supplier A,As-Received,7.76,37.1,972.7,781.5,12.6,0.462,27.6,18175.0,1.0,A. Silva,UTM-3,Pass,"Cold room, verify temp log"
B2022-00324,23-Mar-2022,Aluminum 6061,Supplier C,As-Received,6.71,15.1,323.3,253.9,13.3,0.309,25.8,7936.0,3.0,J. Kim,UTM-3,Pass,
B2023-00758,10/23/2023,Copper C110,Supplier D,Annealed,3.97,7.3,191.0,163.4,31.3,0.389,23.4,,0.0,A. Silva,UTM-2,Fail,
B2022-01371,11/06/2022,Titanium Ti-6Al-4V,Supplier B,Annealed,9.06,38.9,792.7,609.1,12.1,0.281,25.8,19598.0,2.0,M. Chen,UTM-1,Fail,
B2022-01011,06/18/2022,Stainless 304,Supplier B,As-Received,16.87,22.3,451.9,369.5,48.3,0.177,25.0,,3.0,J. Kim,HT-4,Fail,
B2022-01253,18-Mar-2022,Stainless 304,Supplier B,As-Received,11.46,17.7,463.2,354.6,48.4,0.547,18.8,,1.0,M. Chen,UTM-1,Fail,
B2022-00453,2022-06-05,Steel 4140,Supplier B,Normalized,10.03,31.4,748.0,609.4,21.9,0.365,15.0,,1.0,R. Patel,HT-4,Fail,
B2022-00585,2022-12-17,STEEL 4140 ,Supplier C,Quenched & Tempered,20.91,31.1,1038.8,879.4,15.4,0.305,22.8,,1.0,T. Nguyen,HT-4,Fail,
B2022-00952,03/05/2022,Copper C110,Supplier C,As-Received,4.33,10.5,232.8,202.5,32.1,0.311,13.9,10864.0,3.0,R. Patel,UTM-3,Pass,
B2024-01116,2024-07-04,Copper-C110,Supplier A,As-Received,4.2,10.2 HRC,231.0,,37.8,0.256,28.5,,0.0,R. Patel,UTM-1,Pass,
B2023-00494,2023-05-27,Copper C110,Supplier A,Quenched & Tempered,9.28,10.3,256.3,231.8,36.7,0.343,21.1,,1.0,R. Patel,UTM-3,Pass,
B2024-00367,16-May-2024,Copper C110,Supplier A,Quenched & Tempered,6.09,9.4,218.1,177.2,31.6,0.22,21.4,,3.0,A. Silva,HT-4,Pass,
B2022-00751,22-Jun-2022,Titanium Ti-6Al-4V,Supplier B,As-Received,18.73,35.2,755.6,673.1,10.9,0.327,20.5,,0.0,R. Patel,UTM-3,Fail,
B2024-00613,2024-06-05,Stainless 304,Supplier B,Normalized,10.69,26.6,566.1,439.2,43.7,0.474,25.7,,3.0,R. Patel,HT-4,Pass,
B2022-01383,2023-01-03,Titanium Ti-6Al-4V,Supplier C,Normalized,6.44,33.7,939.9,751.6,11.1,0.397,24.3,45421.0,0.0,J. Kim,UTM-2,Pass,
B2022-01385,06-Jun-2022,Steel 4140,Supplier C,Annealed,23.11,34.1,800.3,680.9,19.0,0.25,175.7,,2.0,J. Kim,UTM-3,Fail,
B2022-01225,12-Jul-2022,Stainless 304,Supplier B,Normalized,4.18,21.8,497.7,383.9,47.8,0.372,20.0,20907.0,1.0,T. Nguyen,UTM-1,Fail,
B2023-00021,23-Mar-2023,Titanium Ti-6Al-4V,Supplier C,As-Received,11.98,33.3,932.9,747.7,11.3,0.404,24.5,23509.0,0.0,T. Nguyen,UTM-3,Pass,
B2022-01262,22-Jun-2022,ALUMINUM 6061,Supplier D,Normalized,6.16,16.2,345.2,271.9,16.2,0.397,31.7,,0.0,M. Chen,HT-4,Pass,Grain flow irregular near edge
B2024-00232,2024-07-10,Copper C110,Supplier B,Quenched & Tempered,7.33,8.7,205.0,177.0,33.0,0.446,21.8,,1.0,M. Chen,UTM-1,Fail,
B2022-00812,2022-06-10,ALUMINUM 6061,Supplier A,Quenched & Tempered,6.3,13.2 HRC,342.7,281.3,,0.276,24.4,,0.0,R. Patel,UTM-2,Pass,
B2024-01143,12-Jun-2024,aluminum 6061,Supplier A,As-Received,6.56,13.5,305.5,239.7,17.3,0.44,18.4,,0.0,T. Nguyen,UTM-1,Pass,
B2023-00851,12-Oct-2023,Aluminum 6061,Supplier A,Quenched & Tempered,6.12,13.4HRC,290.1,224.4,14.5,0.332,137.2,1829.0,5.0,A. Silva,UTM-2,Fail,
B2022-00695,03/13/2022,Copper C110,Supplier D,Quenched & Tempered,3.75,10.3,275.6,209.5,35.0,0.391,17.5,55708.0,0.0,T. Nguyen,UTM-3,Pass,
B2022-00695,03/14/2022,Copper C110,Supplier D,Quenched & Tempered,6.04,9.6,253.3,239.6,,0.318,19.6,74623.0,1.0,M. Chen,HT-4,Pass,
B2022-00837,2022-10-21,Steel 4140,Supplier A,Annealed,11.63,31.9HRC,1000.6,808.8,14.9,0.327,19.0,,3.0,T. Nguyen,UTM-3,Fail,
B2024-00774,11-Jul-2024,Steel 4140,Supplier A,Annealed,19.37,31.9 hrc,969.4,758.2,18.2,0.305,24.6,27046.0,0.0,M. Chen,HT-4,Pass,
B2023-01146,02-Nov-2023,Steel 4140,Supplier C,As-Received,13.06,34.7 hrc,996.9,789.6,18.7,0.3,31.7,,0.0,J. Kim,UTM-1,Pass,Retest requested
B2022-00806,24-Dec-2022,Aluminum 6061,Supplier B,Normalized,5.16,12.9,233.6,191.1,18.7,0.319,20.4,,2.0,A. Silva,HT-4,Fail,
B2022-00356,07/18/2022,Copper C110,Supplier C,Quenched & Tempered,6.04,10.2,257.7,206.0,,0.414,,57854.0,0.0,A. Silva,UTM-3,Pass,
B2022-00536,12-Dec-2022,Copper C110,Supplier_C,Quenched & Tempered,9.07,9.9,219.1,,35.5,0.22,25.4,20508.0,1.0,R. Patel,UTM-1,Pass,
B2023-00598,09/02/2023,Steel 4140,Supplier D,As-Received,22.66,30.0 hrc,980.0,823.6,13.5,0.283,28.9,,3.0,A. Silva,UTM-3,Pass,
B2022-00819,2022-09-10,Titanium Ti-6Al-4V,SUPPLIER A ,Normalized,11.94,35.9,983.0,774.7,9.8,0.443,28.0,57671.0,1.0,T. Nguyen,UTM-2,Pass,
B2023-00308,12/14/2023,Stainless 304,Supplier D,Normalized,16.08,24.4,649.7,514.3,46.9,0.364,21.3,,1.0,M. Chen,HT-4,Pass,
B2023-00353,2023-04-09,STAINLESS 304,Supplier C,Normalized,9.93,24.0,531.1,,52.0,0.402,170.1,6585.0,0.0,M. Chen,UTM-1,Fail,
B2023-00828,08/23/2023,Aluminum 6061,Supplier A,As-Received,5.43,12.0,296.9,,16.1,0.364,16.7,,1.0,M. Chen,HT-4,Pass,
B2022-00298,11/22/2022,Copper C110,Supplier C,Annealed,8.91,6.2,189.9,149.9,29.4,0.31,15.1,,3.0,R. Patel,UTM-2,Fail,Retest requested
B2022-00951,2022-11-06,Aluminum 6061,Supplier C,Annealed,4.77,13.6,294.6,270.0,11.9,0.418,21.4,,1.0,M. Chen,HT-4,Pass,
B2023-01365,2023-11-11,Steel 4140,Supplier A,As-Received,13.58,32.1HRC,1022.6,871.5,17.6,0.515,18.7,,0.0,T. Nguyen,HT-4,Pass,
B2023-00152,07/14/2023,Steel 4140,Supplier A,As-Received,18.4,31.3,943.2,770.9,16.1,0.322,22.6,8752.0,2.0,M. Chen,UTM-3,Pass,
B2023-00176,30-Nov-2023,Copper C110,Supplier A,Normalized,6.81,8.1,241.2,208.8,33.7,0.457,9.9,,1.0,A. Silva,UTM-2,Pass,
B2022-01134,29-Sep-2022,Copper C110,supplier d,Annealed,4.6,10.5,209.7,165.2,35.9,0.325,30.0,,0.0,T. Nguyen,HT-4,Pass,
B2022-00505,10/27/2022,Stainless 304,Supplier A,Annealed,13.77,17.6,560.3,433.1,44.1,0.395,23.2,,0.0,T. Nguyen,UTM-2,Fail,
B2022-01036,2022-07-19,Titanium Ti-6Al-4V,Supplier D,Annealed,,33.4,945.8,789.4,10.7,0.402,23.3,25606.0,1.0,R. Patel,UTM-1,Fail,
B2023-00333,07/19/2023,Stainless 304,supplier a,As-Received,15.61,23.4 HRC,676.1,573.8,44.6,0.461,23.1,13510.0,3.0,R. Patel,UTM-2,Pass,
B2022-00472,22-Jan-2022,COPPER C110 ,Supplier D,Annealed,4.44,9.9,238.7,203.2,34.1,0.417,22.4,,1.0,A. Silva,HT-4,Pass,
B2022-01383,01/01/2023,TITANIUM TI-6AL-4V ,Supplier C,Normalized,3.59,37.0,963.8,792.7,12.0,0.344,21.8,,1.0,J. Kim,UTM-1,Pass,
B2023-00785,04/12/2023,Steel-4140,Supplier C,As-Received,24.64,30.2,902.0,781.8,21.9,0.281,20.5,,1.0,R. Patel,HT-4,Pass,
B2023-00867,2023-01-16,Stainless 304,Supplier A,Quenched & Tempered,16.5,22.6 hrc,690.5,531.5,45.4,0.34,26.1,,1.0,M. Chen,HT-4,Fail,Retest requested
B2022-00564,09/22/2022,Stainless 304,Supplier C,As-Received,9.25,24.8HRC,642.2,516.0,39.4,0.39,27.3,,2.0,J. Kim,UTM-1,Pass,
B2022-00990,04/27/2022,Copper C110,Supplier A,Normalized,4.2,6.2,215.3,172.5,35.9,0.484,23.2,,2.0,M. Chen,UTM-2,Pass,Grain flow irregular near edge
B2022-01044,2022-09-14,Titanium Ti-6Al-4V,Supplier B,Normalized,9.91,35.4 hrc,807.3,674.5,9.2,0.327,22.3,,5.0,J. Kim,HT-4,Fail,
B2022-00620,02-May-2022,Stainless 304,Supplier B,As-Received,12.69,21.5,483.1,363.9,,0.428,26.6,22470.0,1.0,J. Kim,HT-4,Pass,
B2024-00059,01/18/2024,Titanium Ti-6Al-4V,Supplier B,Quenched & Tempered,19.66,34.6,846.7,667.4,14.0,0.464,20.6,10247.0,4.0,A. Silva,HT-4,Fail,
B2022-00188,05/28/2022,Copper C110,Supplier C,As-Received,9.43,8.9 HRC,214.2,178.0,,0.328,24.8,,2.0,A. Silva,UTM-3,Pass,
B2024-00183,2024-01-22,Steel 4140,Supplier D,Normalized,19.94,30.2 HRC,933.6,805.9,,0.276,23.3,,0.0,M. Chen,UTM-2,Pass,
B2022-01011,06/16/2022,Stainless 304,Supplier B,As-Received,,24.0,500.9,370.8,43.7,0.214,22.9,,2.0,R. Patel,HT-4,Fail,
B2024-01052,10-Feb-2024,Steel 4140,Supplier B,As-Received,6.59,33.7,719.9,613.9,22.1,0.347,18.2,,1.0,R. Patel,UTM-2,Fail,
B2024-00232,2024-07-12,Copper C110,Supplier B,Quenched & Tempered,8.82,10.9,227.5,170.5,34.3,0.392,24.8,,4.0,T. Nguyen,UTM-2,Pass,
B2023-01363,2023-12-28,Aluminum 6061,Supplier C,Quenched & Tempered,4.09,12.9,334.7,287.3,12.6,0.34,21.7,,3.0,T. Nguyen,UTM-3,Pass,
B2023-00662,09/12/2023,Copper C110,Supplier D,As-Received,3.1,11.2,233.6,,34.7,0.318,20.3,14101.0,0.0,J. Kim,UTM-2,Pass,Retest requested
B2023-01194,01/23/2023, TitaniumTi6Al4V,Supplier C,As-Received,17.81,36.5,894.0,681.7,9.2,0.265,23.3,50918.0,0.0,J. Kim,HT-4,Pass,
B2023-01367,08/03/2023,Steel 4140,Supplier B,Quenched & Tempered,9.49,31.1,857.5,690.3,20.2,0.403,28.5,,2.0,T. Nguyen,HT-4,Pass,Retest requested
B2022-00908,2022-12-11,Copper C110,Supplier D,As-Received,1.2,10.3,246.8,213.0,33.2,0.33,20.6,58262.0,0.0,J. Kim,UTM-3,Pass,
B2022-01233,22-Jan-2022, Steel4140,Supplier B,As-Received,6.65,35.5,697.5,592.4,19.6,0.418,136.5,,2.0,R. Patel,UTM-1,Fail,
B2024-00350,09-Mar-2024,Aluminum 6061,Supplier A,As-Received,4.56,9.7,263.3,217.4,15.4,0.314,21.2,,0.0,R. Patel,UTM-2,Pass,
B2024-00006,20-Jun-2024,Titanium Ti-6Al-4V,Supplier B,Normalized,9.72,35.1,803.3,674.1,13.0,0.349,18.2,,3.0,M. Chen,UTM-2,Fail,
B2023-00306,05/24/2023,Steel 4140,Supplier D,Normalized,24.33,32.0,998.8,809.5,16.0,0.5,25.4,51061.0,2.0,T. Nguyen,UTM-3,Pass,
B2024-00406,06/18/2024,Stainless 304,Supplier B,Normalized,5.35,21.9,470.6,388.4,46.3,0.286,27.6,,2.0,R. Patel,HT-4,Fail,
B2024-01083,27-Jan-2024,Aluminum 6061,Supplier C,Normalized,14.11,16.8,354.4,,13.2,0.358,24.7,,1.0,R. Patel,HT-4,Pass,
B2024-01115,05/27/2024,Titanium Ti-6Al-4V,Supplier A,Annealed,5.72,35.0,884.1,839.6,10.7,0.301,18.2,49232.0,0.0,M. Chen,HT-4,Fail,
B2022-01114,2022-12-22,Stainless 304,SUPPLIER D ,Normalized,4.05,18.5,573.8,500.5,48.3,0.328,22.9,,1.0,J. Kim,UTM-1,Pass,
B2022-00813,2022-08-03,Copper C110,Supplier_C,Annealed,5.18,9.0,201.9,156.9,35.1,0.269,24.7,4315.0,3.0,A. Silva,UTM-3,Pass,
B2022-00450,2022-09-29,Copper C110,Supplier D,Annealed,8.65,7.6,201.0,158.2,38.7,0.299,27.1,23314.0,1.0,J. Kim,UTM-1,Fail,
B2022-00788,11/26/2022,Copper C110,Supplier D,Annealed,5.8,12.5,243.2,200.8,34.0,0.38,19.8,,3.0,J. Kim,UTM-2,Pass,
B2023-00114,2023-12-12,Stainless 304,Supplier C,Annealed,12.65,24.5,500.2,415.7,47.7,0.377,138.8,4724.0,1.0,M. Chen,HT-4,Fail,
B2024-00543,05-Jan-2024,Aluminum 6061,Supplier D,Normalized,9.07,15.1,328.7,273.6,19.4,0.338,22.7,66963.0,0.0,R. Patel,HT-4,Pass,
B2023-00223,29-Jun-2023,Steel 4140,Supplier D,Normalized,24.97,38.3,1102.1,961.5,14.8,0.444,17.7,91271.0,2.0,J. Kim,HT-4,Pass,
B2024-00761,14-Mar-2024,Titanium Ti-6Al-4V,Supplier D,Quenched & Tempered,6.12,40.0,1157.3,931.9,5.5,0.225,24.9,,1.0,M. Chen,UTM-3,Pass,
B2023-00212,2023-05-27,Aluminum 6061,Supplier D,As-Received,9.36,13.6,293.8,244.1,13.3,0.277,18.4,,1.0,A. Silva,HT-4,Pass,
B2023-00949,17-Oct-2023,Titanium Ti-6Al-4V,Supplier C,Normalized,15.87,37.0,1000.6,792.2,9.9,0.396,22.1,60972.0,0.0,T. Nguyen,UTM-3,Pass,
B2023-00172,01/29/2023,Steel 4140,Supplier B,Quenched & Tempered,9.67,34.0,854.9,678.2,19.7,0.403,,1461.0,6.0,M. Chen,UTM-2,Fail,
B2022-00916,2022-01-06,Titanium Ti-6Al-4V,Supplier C,As-Received,13.08,32.8,918.0,851.3,8.4,0.369,22.1,,1.0,T. Nguyen,UTM-1,Pass,
B2023-00621,2023-03-18,Titanium Ti-6Al-4V,Supplier D,Quenched & Tempered,12.93,36.7HRC,1091.1,874.2,3.4,0.359,22.0,,,R. Patel,UTM-2,Pass,
B2024-00945,25-Jul-2024,Steel 4140,Supplier C,Annealed,11.99,29.5,870.2,692.7,22.2,0.276,26.8,,2.0,A. Silva,UTM-1,Fail,
B2023-00027,23-Sep-2023,Copper C110,Supplier D,Annealed,5.89,9.7 HRC,223.9,184.3,35.0,0.285,24.6,15691.0,2.0,R. Patel,HT-4,Pass,
B2022-01104,2022-03-17,Copper C110,Supplier C,As-Received,8.06,7.6,227.6,182.8,34.6,0.329,15.5,27208.0,1.0,J. Kim,UTM-3,Fail,
B2022-00703,10/21/2022,Aluminum 6061,Supplier A,Annealed,10.66,19.2,351.5,301.8,15.5,0.407,22.1,7967.0,1.0,M. Chen,UTM-2,Pass,
B2022-00179,05/08/2022,Aluminum 6061,Supplier A,Annealed,13.72,11.0,304.4,239.8,17.8,0.433,32.0,24901.0,3.0,R. Patel,UTM-3,Pass,
B2022-01118,06/12/2022,Steel 4140,Supplier C,Annealed,6.78,33.1,980.2,813.5,18.2,0.457,20.4,,2.0,J. Kim,UTM-1,Pass,
B2022-00453,2022-06-07,Steel 4140,Supplier B,Normalized,13.58,33.4,842.1,719.4,17.2,0.462,20.2,13030.0,4.0,T. Nguyen,UTM-1,Pass,
B2023-00441,2023-05-12,Titanium Ti-6Al-4V,Supplier D,Normalized,3.21,36.0,1014.7,821.8,10.8,0.39,22.9,,1.0,J. Kim,UTM-1,Pass,
B2024-00198,02/29/2024,Aluminum 6061,Supplier B,As-Received,14.23,12.0,214.3,177.6,17.7,0.177,19.6,2692.0,4.0,R. Patel,UTM-3,Fail,
B2022-01223,02/15/2022,Copper C110,Supplier_A,Normalized,5.72,8.1 hrc,208.1,173.4,35.0,0.336,26.1,,1.0,J. Kim,UTM-1,Pass,
B2024-00015,19-Jun-2024,Aluminum 6061,Supplier B,Normalized,8.99,13.8,256.8,212.7,,0.305,21.5,,2.0,T. Nguyen,UTM-1,Fail,Sample slipped in grips - discard?
B2023-00760,2023-12-20,Stainless 304,Supplier B,Annealed,11.47,22.9,441.9,360.5,45.4,0.173,20.1,27710.0,2.0,A. Silva,UTM-3,Fail,
B2024-00669,03-Aug-2024,titanium ti-6al-4v,Supplier C,Normalized,17.68,35.1,957.6,744.8,14.1,0.452,23.0,86181.0,1.0,T. Nguyen,UTM-1,Pass,Sample slipped in grips - discard?
B2023-00326,04-May-2023,Stainless-304 ,Supplier A,Normalized,8.13,21.0 hrc,615.0,486.1,45.7,0.31,24.3,,2.0,M. Chen,UTM-1,Pass,
B2023-00111,2023-09-30,Titanium Ti-6Al-4V,Supplier A,Quenched & Tempered,15.95,31.1,1023.6,750.3,10.9,0.277,18.4,164855.0,0.0,T. Nguyen,UTM-1,Pass,
